	0.0429
普通車	0.0424
自由席	0.0398
運賃	0.0386
指定席	0.0270
利用できる	0.0270
基本的	0.0215
料金必要	0.0212
グリーン車	0.0212
設定するれる	0.0198
必要	0.0198
指定席利用	0.0195
利用者	0.0195
自由	0.0193
運賃ほか	0.0176
座席指定席	0.0176
定員制	0.0176
優等列車	0.0176
保障するれる	0.0176
訂正する	0.0172
いる	0.0170
特別急行列車	0.0155
席利用	0.0155
列車普通車	0.0155
低価格	0.0155
一般車	0.0155
グリーン料金	0.0155
JR旅客各社	0.0155
求めるいる	0.0154
旅客列車	0.0154
加筆訂正	0.0154
下さる協力者	0.0154
れるいる	0.0154
するれるいる	0.0154
この記事	0.0154
要する優等列車	0.0132
自由席設定	0.0132
特急料金	0.0132
特に定める	0.0132
東海道新幹線	0.0132
座席レベル	0.0132
席設定する	0.0132
席	0.0132
利用運賃	0.0132
個々座席	0.0132
中小私鉄	0.0132
ほか料金	0.0132
いる点	0.0132
見るられる	0.0129
現在	0.0129
時代	0.0129
快速列車	0.0129
存在する	0.0129
含む	0.0129
する2	0.0129
書くかける項目	0.0116
座席	0.0116
車自由席	0.0106
車指定席	0.0106
質	0.0106
私鉄	0.0106
着席保障する	0.0106
普通車指定	0.0106
急行料金	0.0106
席運賃	0.0106
寝台車	0.0106
ゆうする	0.0106
この自由席	0.0106
JR急行列車	0.0106
JR優等列車	0.0106
それ	0.0093
項目この	0.0086
関連する書く	0.0086
関連する	0.0086
設定する	0.0086
記事加筆	0.0086
者求める	0.0086
東日本旅客鉄道	0.0086
急行列車	0.0086
国鉄	0.0086
受けること	0.0086
協力者求める	0.0086
交通機関	0.0086
乗車人員	0.0086
られる	0.0086
する書くかける	0.0086
する下さる協力	0.0086
する下さる	0.0086
する	0.0086
これ	0.0086
この記事加筆	0.0086
かける項目	0.0086
JR	0.0086
除く乗務員	0.0077
金必要	0.0077
運賃特急料金	0.0077
運賃特急	0.0077
運賃料金	0.0077
運賃急行料金	0.0077
運賃急行	0.0077
運賃ほか料金	0.0077
追加料金	0.0077
転換クロスシート	0.0077
車内サービス	0.0077
車両ある	0.0077
超える場合	0.0077
要する特急列車	0.0077
自由席編集	0.0077
自由席寝台	0.0077
自由席利用	0.0077
自由席共	0.0077
腰掛質	0.0077
私鉄優等列車	0.0077
確保必至	0.0077
着席保障	0.0077
着席できる	0.0077
発行する形式	0.0077
異例措置	0.0077
用いる必要	0.0077
特急列車普通	0.0077
特急列車	0.0077
特急サザン	0.0077
特別席扱い	0.0077
演劇公演	0.0077
満席	0.0077
横臥する	0.0077
有料公演	0.0077
普通車自由席	0.0077
普通車自由	0.0077
普通車利用	0.0077
時期ある	0.0077
旧国鉄JR	0.0077
料金要する優等	0.0077
料金要する	0.0077
料金利用	0.0077
料金ほか指定	0.0077
料金	0.0077
改変するれる	0.0077
措置	0.0077
採るいる	0.0077
指定席料金	0.0077
指定席なる	0.0077
指定席それ	0.0077
急行列車自由	0.0077
快速列車含む	0.0077
必至	0.0077
従前制度	0.0077
座席質	0.0077
座席自由席	0.0077
座席自由	0.0077
座席特に定める	0.0077
座席特に	0.0077
座席指定	0.0077
幾分見受けるられる	0.0077
幾分低い列車	0.0077
席特急料金	0.0077
席料金必要	0.0077
席座席	0.0077
席なる	0.0077
席それ	0.0077
差異除く	0.0077
差大きい	0.0077
展望席	0.0077
寝台確保	0.0077
寝台	0.0077
定めるいる	0.0077
多く列車	0.0077
多い	0.0077
国鉄時代以来	0.0077
国鉄時代	0.0077
国鉄JR各社	0.0077
国鉄JR	0.0077
営業施策	0.0077
含む優等列車	0.0077
同様	0.0077
同一距離	0.0077
受けるられる	0.0077
参照するれる	0.0077
参照JR	0.0077
南海電気鉄道特急	0.0077
制限するれる	0.0077
制度採る	0.0077
制度大幅	0.0077
利用者定める	0.0077
列車自由席	0.0077
列車普通	0.0077
列車多い	0.0077
列車含む	0.0077
列車一部	0.0077
出来る座席	0.0077
公演上映	0.0077
全部一部	0.0077
全車運賃	0.0077
全車全席指定席	0.0077
全車全席指定	0.0077
全車	0.0077
全席自由席	0.0077
全席指定席	0.0077
