	0.0369
いる	0.0232
する	0.0211
黒人	0.0158
いく	0.0145
なる	0.0132
私	0.0118
キング	0.0115
ある	0.0114
ルーサーキング	0.0106
アフリカ系アメリカ人	0.0105
ない	0.0105
するれる	0.0101
公民権運動	0.0096
マーティンルーサー	0.0096
マルコムX	0.0096
系アメリカ人	0.0092
するいる	0.0087
れるいる	0.0083
受賞	0.0079
これ	0.0079
非暴力抵抗	0.0075
人種差別	0.0075
キングジュニア	0.0075
黒人社会	0.0071
ものなる	0.0071
非暴力	0.0066
行うれる	0.0066
白人	0.0066
収録	0.0066
非暴力主義	0.0060
白人社会	0.0060
民主主義	0.0060
暗殺するれる	0.0060
公民権法	0.0060
人種差別撤廃	0.0060
IHaveaDream	0.0060
IHavea	0.0060
HaveaDream	0.0060
もの	0.0057
制定するれる	0.0054
キング牧師	0.0054
の	0.0054
IHave	0.0054
有名	0.0053
曲	0.0053
ことある	0.0053
逮捕するれる	0.0047
自由	0.0047
施行するれる	0.0047
指導する	0.0047
州政府	0.0047
夢ある	0.0047
公民権	0.0047
ブラックパワー	0.0047
アフリカ系アメリカ	0.0047
なるいく	0.0047
ため	0.0047
するれるいる	0.0047
こと	0.0047
aDream	0.0047
黒人解放運動	0.0040
運動結果	0.0040
訴えるいく	0.0040
自身	0.0040
終わるせるため	0.0040
私山	0.0040
祝日する	0.0040
牧師する	0.0040
捧げる曲	0.0040
増えるいく	0.0040
以下よう	0.0040
ワシントン大行進	0.0040
ブラック	0.0040
パワー	0.0040
バプテスト派教会	0.0040
ノーベル平和賞受賞	0.0040
ノーベル平和賞	0.0040
ためマーティン	0.0040
運動	0.0039
連邦政府	0.0039
語る	0.0039
誕生日	0.0039
神	0.0039
牧師	0.0039
新た	0.0039
呼ぶ	0.0039
一部	0.0039
られる	0.0039
その内容	0.0039
3人	0.0039
死去する	0.0035
アメリカ合衆国	0.0035
その後	0.0035
そのため	0.0035
するれること	0.0035
アメリカ	0.0034
高校時代	0.0033
関わる	0.0033
長生きする	0.0033
運動指導する	0.0033
評価するれる	0.0033
結論付ける	0.0033
約束地	0.0033
精力的	0.0033
立ち上がる	0.0033
私夢	0.0033
私たち	0.0033
盛り上がり見せる	0.0033
演説中	0.0033
弱腰姿勢	0.0033
平和賞受賞者	0.0033
差別撤廃	0.0033
宣言する	0.0033
奴隷制度	0.0033
夢	0.0033
墓標	0.0033
中白人	0.0033
マーティン	0.0033
ボストン大学	0.0033
バラク・オバマ大統領	0.0033
ジョージワシントン	0.0033
ゴール	0.0033
コメントする	0.0033
ケネディ	0.0033
アメリカ国内	0.0033
よいの	0.0033
もうどう	0.0033
ひとつ	0.0033
しれる	0.0033
就任する	0.0028
金	0.0026
達す	0.0026
話する	0.0026
言葉	0.0026
見るられる	0.0026
立てる	0.0026
社会	0.0026
登場する	0.0026
母親	0.0026
来る	0.0026
月4日	0.0026
改名する	0.0026
悪い	0.0026
得る	0.0026
当時	0.0026
平易言葉	0.0026
受ける	0.0026
参考文献編集	0.0026
参加する	0.0026
付けるられる	0.0026
今	0.0026
人	0.0026
二重	0.0026
中心する	0.0026
世界	0.0026
わけ	0.0026
れること	0.0026
その	0.0026
する白人	0.0026
するの	0.0026
いる彼ら	0.0026
いること	0.0026
4月4日	0.0026
20世紀	0.0026
1月15日	0.0026
黒人青年	0.0024
黒人階段	0.0024
黒人運動	0.0024
黒人見る	0.0024
黒人現状	0.0024
黄金勲章受章者	0.0024
高邁理想	0.0024
飲む黒人男性	0.0024
項記述	0.0024
頂点	0.0024
頂上約束	0.0024
頂上登る	0.0024
非白人等	0.0024
非暴力運動	0.0024
非暴力的	0.0024
非暴力抵抗運動	0.0024
雇用機会	0.0024
雇用場	0.0024
際話	0.0024
際キング	0.0024
隔絶ある	0.0024
階段入り口	0.0024
闘争側面	0.0024
関連するマルチメディア	0.0024
間もなく死亡する	0.0024
金力	0.0024
重要人物	0.0024
選挙権獲得	0.0024
違憲判決	0.0024
過激思想	0.0024
運用実際	0.0024
運動特徴	0.0024
運動捧げる	0.0024
遊説活動中	0.0024
遊説	0.0024
遊ぶせる	0.0024
遊ぶいる	0.0024
連邦軍兵士	0.0024
連邦最高裁判所	0.0024
連邦休日	0.0024
連邦	0.0024
載せるいる	0.0024
起こすキング	0.0024
