	0.0610
逮捕するれる	0.0365
ルービン	0.0361
する	0.0271
するれる	0.0260
ユダヤ防衛同盟	0.0244
ユダヤ人	0.0244
この事件	0.0244
するいる	0.0223
述べる	0.0208
する派	0.0208
JDL	0.0208
中心する	0.0203
すること	0.0203
いる	0.0192
創設する	0.0182
れる	0.0182
こと	0.0182
2002年	0.0182
発言する	0.0168
俺	0.0168
中心する派	0.0168
ルービンJDL	0.0168
月4日	0.0136
月13日	0.0136
政府	0.0136
手入れる	0.0136
得る	0.0136
失敗する	0.0136
否定する	0.0136
これ	0.0136
この	0.0136
2002年11月	0.0136
1981年	0.0136
1	0.0136
非難記事ルービン	0.0122
非難するれる	0.0122
開始する	0.0122
長い渡る	0.0122
遺族他殺	0.0122
連中拍手	0.0122
述べる1	0.0122
起こす3	0.0122
議長なる	0.0122
訴訟起こす	0.0122
言う呼びかける	0.0122
言い渡すれる	0.0122
襲撃するれる	0.0122
行動する	0.0122
行うこと	0.0122
編集ユダヤ防衛同盟	0.0122
穏健	0.0122
発生ルービン	0.0122
疑い持つ	0.0122
生まれる当時	0.0122
爆破すること	0.0122
爆破する	0.0122
渡る務める	0.0122
殺害するれる	0.0122
残念	0.0122
死編集ルービン	0.0122
死5JDL	0.0122
歴史家ジョージ	0.0122
歴史修正主義	0.0122
正義場所	0.0122
未だ解決する	0.0122
昇進する	0.0122
政治活動家	0.0122
政府訴訟	0.0122
挙がるルービン	0.0122
拍手送る	0.0122
批判的	0.0122
懲役20年	0.0122
得るルービン	0.0122
彼ら正義	0.0122
当然報い	0.0122
当時モントリオール	0.0122
引っ越すアメリカ	0.0122
床転落	0.0122
年11月4	0.0122
多数居住する	0.0122
墓逮捕後	0.0122
場所手	0.0122
報い得る	0.0122
吹き飛ばすれる	0.0122
名前挙がる	0.0122
同盟JDL	0.0122
同年イスラエル	0.0122
判決受ける	0.0122
分裂する	0.0122
共謀するテロ	0.0122
入隊軍曹	0.0122
入れる	0.0122
他殺	0.0122
事務所爆弾	0.0122
予告する	0.0122
両親姉妹	0.0122
一般市民	0.0122
ロサンゼルス郊外	0.0122
