	0.0579
人民服	0.0333
なるいる	0.0243
現在	0.0232
一般的	0.0232
着用する	0.0219
中国	0.0206
いる	0.0197
なる	0.0193
背広	0.0191
民族衣装	0.0191
するいる	0.0191
人民解放軍	0.0158
中山服	0.0158
ことある	0.0155
影響	0.0139
ようなる	0.0139
1980年代	0.0139
鄧小平	0.0119
背広姿	0.0119
着用するよう	0.0119
着用するいる	0.0119
正装	0.0119
服装	0.0119
服着用する	0.0119
最高指導者	0.0119
晩年	0.0119
人民服着用	0.0119
人民服姿	0.0119
ベトナム人民軍	0.0119
ドイモイ政策	0.0119
1950年代	0.0119
定着する	0.0104
多い	0.0104
使用する	0.0104
金正日	0.0096
金日成	0.0096
過去	0.0096
紅衛兵	0.0096
次第に背広	0.0096
政治家	0.0096
批判する	0.0096
国民服	0.0096
北朝鮮	0.0096
人民服風	0.0096
人民服型	0.0096
中国側	0.0096
ベトナム	0.0096
ファッション用語	0.0096
サブカルチャー	0.0096
この服	0.0096
いうれる	0.0096
1970年代	0.0096
ある	0.0084
者	0.0077
考える	0.0077
影響与える	0.0077
催すれる	0.0077
使うれるいる	0.0077
デザインする	0.0077
られるいる	0.0077
なるの	0.0077
なる1	0.0077
するようなる	0.0077
すること	0.0077
いる実際	0.0077
いずれ	0.0077
いう	0.0077
1980	0.0077
1960年代	0.0077
黒	0.0069
題材する	0.0069
青緑	0.0069
際遺体	0.0069
関係推移	0.0069
関係ある	0.0069
間に合う	0.0069
開襟式	0.0069
開放政策	0.0069
金日成バッジ	0.0069
鄧小平自身	0.0069
鄧小平改革	0.0069
返答する	0.0069
軍装	0.0069
軍服人民服	0.0069
軍服中華人民共和国	0.0069
諸外国	0.0069
調達間に合う	0.0069
話題なる	0.0069
記号	0.0069
解放軍	0.0069
見るられるよう	0.0069
衣装	0.0069
蒋介石中央	0.0069
葬儀際	0.0069
英語Maosuit	0.0069
苦慮する	0.0069
色カーキ	0.0069
胡錦濤	0.0069
背広方	0.0069
背広双方	0.0069
編集既述	0.0069
緑さまざま	0.0069
緊密	0.0069
紺青	0.0069
示す一種	0.0069
着る話題	0.0069
着る続ける	0.0069
着る映像	0.0069
着るられるいる	0.0069
着るられる	0.0069
登場すること	0.0069
登場する1	0.0069
男性正装	0.0069
用いるられる	0.0069
生活変化	0.0069
現在中国	0.0069
特徴付けるアイテム	0.0069
無地	0.0069
毛沢東思想	0.0069
毛沢東カラー	0.0069
朝鮮民主主義人民共和国北朝鮮	0.0069
朝鮮民主主義人民共和国	0.0069
服装変化	0.0069
服背広	0.0069
服平服	0.0069
服帽子	0.0069
服実際	0.0069
服型軍装	0.0069
晩餐会	0.0069
日本留学中	0.0069
方好む	0.0069
文化大革命	0.0069
政治的関係	0.0069
政治指導者	0.0069
改革開放路線	0.0069
改革開放政策	0.0069
推測するれる	0.0069
指導者	0.0069
折襟二つ	0.0069
彼服装	0.0069
彼らシンボル	0.0069
影響ある	0.0069
建国当初	0.0069
廃れるいく	0.0069
廃れる	0.0069
年代後半以降	0.0069
平服正装	0.0069
平改革開放	0.0069
対立	0.0069
密接関係	0.0069
宣言する毛沢東	0.0069
孫文	0.0069
孫中山	0.0069
姿	0.0069
女性正装	0.0069
女性	0.0069
大使館ある	0.0069
大使館	0.0069
多い着るられる	0.0069
外遊際	0.0069
変化影響	0.0069
変化	0.0069
場	0.0069
基なる	0.0069
国慶節	0.0069
国家主席	0.0069
営む若い男女	0.0069
問題ない	0.0069
問題	0.0069
呼ぶれる帽子	0.0069
含むそれ	0.0069
同様背広	0.0069
同様服	0.0069
同国中	0.0069
同国	0.0069
各国影響	0.0069
各国	0.0069
双方着用	0.0069
動き中	0.0069
制服なる	0.0069
切り替わるいる	0.0069
写真映像	0.0069
共通する国々	0.0069
公式場	0.0069
公場	0.0069
先進工業国	0.0069
使用正装	0.0069
使用するれる	0.0069
併用するれる	0.0069
作業服風	0.0069
代わるれるよう	0.0069
人民服背広	0.0069
人民服編集	0.0069
人民	0.0069
人々インパクト	0.0069
中華人民共和国民族衣装	0.0069
中華人民共和国民族	0.0069
中華人民共和国	0.0069
中央ら	0.0069
中国女	0.0069
中国人関係者	0.0069
中国人民解放軍	0.0069
中国人民	0.0069
中ソ	0.0069
世代	0.0069
上着一種	0.0069
上下揃い	0.0069
一種かつて	0.0069
レ・ズアンファン	0.0069
リュックゴダール	0.0069
ラディカル変革	0.0069
ライフスタイルラディカル	0.0069
マスゲーム含む	0.0069
マジックオーケストラ	0.0069
マオ毛沢東	0.0069
ベトナム人民	0.0069
ファンバン	0.0069
ファッション4脚注	0.0069
トレードマーク	0.0069
チ・ミン人民服	0.0069
タキシード調達	0.0069
セットなる	0.0069
スラックスセット	0.0069
ステージ衣装	0.0069
ジャンリュック	0.0069
シンボルなる	0.0069
サブカルチャーファッション	0.0069
カーキ紺	0.0069
オープンカー乗る	0.0069
オープンカー	0.0069
ウィキペディアWikipedia	0.0069
イメージ現在	0.0069
イエローマジック	0.0069
アルバニア軍	0.0069
れるいる	0.0069
ものなる	0.0069
もっぱら人民服	0.0069
むしろチマチョゴリ	0.0069
ほぼ最近	0.0069
ほとんど過去	0.0069
なる葬儀	0.0069
なる彼ら	0.0069
なるレ・ズアン	0.0069
なるさらに	0.0069
なるおる	0.0069
ない考える	0.0069
ない大規模	0.0069
ないもの	0.0069
とおり人民服	0.0069
じんみるふく	0.0069
さらにファッション	0.0069
さまざま	0.0069
この江	0.0069
この人民服	0.0069
かつて中華人民共和国	0.0069
おる現在	0.0069
おる女性	0.0069
いわゆる人民帽	0.0069
いる頭	0.0069
いる軍装	0.0069
いる色	0.0069
いる原形	0.0069
いるベトナム	0.0069
いるよう	0.0069
いずれ無地	0.0069
いく中華人民共和国	0.0069
いう開襟	0.0069
いうもの	0.0069
ある人民服	0.0069
3カ国間	0.0069
2軍服	0.0069
1990年代	0.0069
1980年代初め	0.0069
1960年代後半	0.0069
1946年中華人民共和国	0.0069
10年ぶり	0.0069
日本側	0.0061
使うれる	0.0059
するれる	0.0059
もの	0.0056
彼	0.0046
黒人民服	0.0039
黒人民	0.0039
風軍装	0.0039
風服	0.0039
風ジャンパー服	0.0039
頭前	0.0039
頭	0.0039
頃宣伝写真	0.0039
頃宣伝	0.0039
頃	0.0039
革命頃	0.0039
革命第一世代	0.0039
革命第一	0.0039
非表示1	0.0039
非礼行為	0.0039
青い折る襟	0.0039
難しいいうれる	0.0039
難しいいう	0.0039
際人民	0.0039
際	0.0039
関係者	0.0039
関係緊密	0.0039
間関係	0.0039
間人民	0.0039
間	0.0039
開襟式軍装	0.0039
開襟式制服	0.0039
開襟作業服	0.0039
開襟作業	0.0039
開放路線定着	0.0039
開放政策軍隊	0.0039
開放政策定着	0.0039
開き五つボタン	0.0039
錦濤	0.0039
金日成像ホー	0.0039
金日成像	0.0039
金	0.0039
遺体背広姿	0.0039
遺体背広	0.0039
過去背広	0.0039
過去もの	0.0039
述とおり人民	0.0039
返答するいる	0.0039
返答	0.0039
近代化影響	0.0039
近代化	0.0039
軍隊制度近代	0.0039
軍隊制度	0.0039
軍開放	0.0039
軍装自体一般	0.0039
軍装自体	0.0039
軍装切り替わる	0.0039
軍装使用する	0.0039
軍装使用	0.0039
軍装使うれる	0.0039
