

	0.0100

 	0.0222

「	0.0019

『	0.0039

き	0.0019

こ	0.0032

ア	0.0032

イ	0.0019

ウ	0.0017

オ	0.0019

カ	0.0039

ク	0.0019

チ	0.0019

テ	0.0019

ト	0.0019

ド	0.0019

ハ	0.0019

バ	0.0019

ピ	0.0019

フ	0.0019

プ	0.0019

ホ	0.0048

ポ	0.0019

メ	0.0019

ラ	0.0019

ル	0.0016

ロ	0.0019

ヴ	0.0035

一	0.0017

主	0.0058

交	0.0019

作	0.0022

出	0.0019

古	0.0035

器	0.0019

宗	0.0019

弦	0.0019

往	0.0019

情	0.0019

打	0.0019

指	0.0019

木	0.0019

極	0.0019

楽	0.0019

派	0.0019

演	0.0019

番	0.0017

移	0.0019

第	0.0060

表	0.0019

近	0.0019

鍵	0.0019

関	0.0019

音	0.0064
 
	0.0584
  	0.2212
 1	0.0019
 2	0.0011
 E	0.0015
 F	0.0014
 I	0.0019
 M	0.0016
 N	0.0010
 O	0.0032
 S	0.0011
 T	0.0059
 W	0.0011
 Z	0.0019
 r	0.0019
 」	0.0019
 い	0.0019
 う	0.0017
 ご	0.0019
 ひ	0.0086
 み	0.0019
 も	0.0019
 や	0.0019
 ア	0.0019
 ウ	0.0019
 オ	0.0039
 カ	0.0017
 サ	0.0039
 タ	0.0052
 テ	0.0019
 ナ	0.0039
 バ	0.0015
 パ	0.0017
 ピ	0.0019
 フ	0.0039
 プ	0.0019
 ホ	0.0019
 マ	0.0017
 ヤ	0.0019
 ラ	0.0019
 ロ	0.0035
 ワ	0.0017
 三	0.0019
 中	0.0019
 仲	0.0019
 佐	0.0019
 土	0.0019
 声	0.0035
 室	0.0016
 山	0.0019
 序	0.0019
 弦	0.0019
 恋	0.0017
 曲	0.0019
 検	0.0019
 概	0.0019
 構	0.0019
 横	0.0017
 永	0.0019
 演	0.0035
 牛	0.0009
 現	0.0016
 用	0.0016
 知	0.0017
 笑	0.0019
 編	0.0048
 荻	0.0019
 表	0.0019
 金	0.0019
 関	0.0019
 隠	0.0019
 鬼	0.0019
00	0.0017
04	0.0019
08	0.0019
14	0.0019
15	0.0012
18	0.0058
19	0.0016
1つ	0.0019
1号	0.0019
1楽	0.0019
1話	0.0019
1部	0.0019
20	0.0019
21	0.0019
27	0.0019
29	0.0035
2で	0.0019
2号	0.0019
2部	0.0019
3部	0.0035
46	0.0019
4つ	0.0019
4年	0.0039
4部	0.0035
4面	0.0019
5番	0.0019
6話	0.0019
7時	0.0019
80	0.0019
82	0.0039
8年	0.0019
91	0.0017
9年	0.0039
AI	0.0019
AN	0.0019
AT	0.0019
AY	0.0019
BG	0.0016
BI	0.0019
DA	0.0019
DO	0.0013
D：	0.0012
E 	0.0019
ED	0.0013
ES	0.0019
FN	0.0008
GH	0.0019
GM	0.0016
Gu	0.0035
HE	0.0017
HT	0.0019
I 	0.0019
IE	0.0019
IG	0.0019
In	0.0019
MA	0.0014
MB	0.0019
Mに	0.0019
N 	0.0035
NI	0.0019
NS	0.0019
NZ	0.0019
No	0.0011
OM	0.0017
OP	0.0019
OW	0.0026
Ov	0.0019
P：	0.0019
RD	0.0017
S 	0.0019
S2	0.0019
SA	0.0019
T 	0.0016
TH	0.0017
TO	0.0017
TU	0.0019
Te	0.0069
UR	0.0017
WN	0.0035
Wi	0.0058
Y 	0.0019
ZA	0.0019
ZO	0.0019
am	0.0015
